user_id,acquisition_channel,variant,first_purchase_date,delivery_date,ugc_email_sent_date,ugc_email_opened,ugc_email_clicked,category,region,first_order_value,returned_within_14d,repeat_purchase_within_30d,time_to_next_purchase_days,repeat_order_value,discount_used_on_repeat
27,paid,control,2025-10-16,2025-10-22,,0,0,apparel,West,115.05,0,0,,,0
28,paid,treatment,2025-11-27,2025-12-01,2025-12-07,1,0,beauty,South,23.97,0,0,,,0
29,paid,treatment,2025-11-19,2025-11-22,2025-11-28,0,0,home,NE,82.8,0,0,,,0
30,paid,control,2025-10-12,2025-10-15,,0,0,apparel,South,27.86,1,0,,,0
31,paid,control,2025-12-06,2025-12-08,,0,0,home,NE,44.14,0,0,,,0
32,paid,control,2025-10-06,2025-10-11,,0,0,footwear,NE,74.97,0,0,,,0
33,paid,control,2025-12-31,2026-01-03,,0,0,home,NE,92.13,0,0,,,0
34,paid,treatment,2025-10-15,2025-10-21,2025-10-27,1,0,home,West,65.94,0,0,,,0
35,paid,treatment,2025-11-10,2025-11-14,2025-11-19,1,0,apparel,South,41.41,0,0,,,0
36,paid,control,2025-12-15,2025-12-19,,0,0,beauty,NE,38.33,0,0,,,0
37,paid,treatment,2025-11-17,2025-11-20,2025-11-26,1,0,home,Midwest,86.47,0,0,,,0
38,paid,treatment,2025-12-08,2025-12-10,2025-12-17,1,0,electronics,West,177.76,1,0,,,0
39,paid,control,2025-12-04,2025-12-06,,0,0,footwear,South,66.28,0,0,,,0
40,paid,treatment,2025-12-27,2025-12-29,2026-01-03,0,0,beauty,NE,19.95,0,0,,,0
41,paid,control,2025-11-12,2025-11-17,,0,0,apparel,West,50.87,0,0,,,0
42,paid,treatment,2025-12-30,2026-01-02,2026-01-09,0,0,electronics,South,157.34,0,0,,,0
43,paid,treatment,2025-11-17,2025-11-22,2025-11-28,0,0,footwear,South,35.85,0,1,19.0,26.55,0
44,paid,control,2025-12-22,2025-12-26,,0,0,footwear,South,80.15,1,0,,,0
45,paid,control,2025-12-07,2025-12-10,,0,0,footwear,South,50.86,0,0,,,0
46,paid,treatment,2025-10-13,2025-10-15,2025-10-22,0,0,apparel,NE,54.31,1,1,9.0,24.43,0
47,paid,control,2025-11-29,2025-12-03,,0,0,electronics,NE,148.12,0,0,,,0
48,paid,treatment,2025-12-20,2025-12-23,2025-12-28,1,0,apparel,South,63.58,1,0,,,0
49,paid,treatment,2025-10-12,2025-10-17,2025-10-23,1,0,apparel,Midwest,80.3,1,0,,,0
50,paid,treatment,2025-12-17,2025-12-20,2025-12-25,0,0,electronics,West,187.36,0,0,,,0
51,paid,treatment,2025-10-10,2025-10-14,2025-10-20,0,0,apparel,West,147.07,0,0,,,0
52,paid,control,2025-12-20,2025-12-25,,0,0,beauty,South,55.61,0,0,,,0
53,paid,control,2025-12-12,2025-12-16,,0,0,apparel,South,78.24,0,0,,,0
54,paid,control,2025-10-14,2025-10-18,,0,0,apparel,South,50.58,0,0,,,0
55,paid,control,2025-12-06,2025-12-10,,0,0,apparel,NE,84.68,0,0,,,0
56,paid,control,2025-10-11,2025-10-17,,0,0,home,Midwest,95.54,0,0,,,0
57,paid,treatment,2025-11-22,2025-11-26,2025-12-03,0,0,beauty,South,31.87,1,0,,,0
58,paid,control,2025-12-24,2025-12-28,,0,0,home,South,44.55,1,1,13.0,34.38,1
59,paid,treatment,2025-10-19,2025-10-22,2025-10-27,1,1,home,West,42.44,1,0,,,0
60,paid,treatment,2025-10-16,2025-10-19,2025-10-25,1,0,apparel,NE,35.89,0,0,,,0
61,paid,treatment,2025-11-08,2025-11-10,2025-11-16,1,0,electronics,South,119.13,0,0,,,0
62,paid,treatment,2025-11-03,2025-11-08,2025-11-15,0,0,apparel,West,35.34,1,0,,,0
63,paid,control,2025-10-05,2025-10-07,,0,0,footwear,South,82.22,0,0,,,0
64,paid,treatment,2025-11-11,2025-11-15,2025-11-21,0,0,footwear,NE,93.96,0,0,,,0
65,paid,control,2025-10-24,2025-10-28,,0,0,footwear,South,92.92,0,0,,,0
66,paid,control,2025-10-12,2025-10-17,,0,0,home,West,46.1,0,0,,,0
67,paid,treatment,2025-10-26,2025-10-29,2025-11-05,0,0,electronics,NE,34.8,1,0,,,0
68,paid,control,2025-10-02,2025-10-05,,0,0,apparel,South,91.81,0,0,,,0
69,paid,control,2025-12-24,2025-12-28,,0,0,footwear,Midwest,35.5,0,0,,,0
70,paid,control,2025-12-31,2026-01-03,,0,0,apparel,NE,67.59,0,0,,,0
71,paid,treatment,2025-11-03,2025-11-05,2025-11-12,1,0,home,Midwest,93.66,0,0,,,0
72,paid,control,2025-12-20,2025-12-26,,0,0,beauty,Midwest,43.38,0,0,,,0
73,paid,control,2025-11-12,2025-11-15,,0,0,electronics,South,190.32,0,0,,,0
74,paid,control,2025-12-23,2025-12-25,,0,0,electronics,South,148.04,1,0,,,0
75,paid,treatment,2025-10-16,2025-10-19,2025-10-26,0,0,beauty,NE,21.1,0,0,,,0
76,paid,control,2025-10-27,2025-11-01,,0,0,apparel,NE,93.85,1,0,,,0
77,paid,control,2025-12-08,2025-12-09,,0,0,electronics,South,87.59,0,0,,,0
78,paid,control,2025-10-21,2025-10-26,,0,0,footwear,NE,73.0,0,1,4.0,77.29,0
79,paid,treatment,2025-12-15,2025-12-17,2025-12-22,0,0,apparel,South,80.04,0,0,,,0
80,paid,treatment,2025-11-09,2025-11-13,2025-11-19,1,0,electronics,South,67.87,0,0,,,0
81,paid,treatment,2025-11-07,2025-11-10,2025-11-15,0,0,home,Midwest,80.56,1,0,,,0
82,paid,control,2025-11-11,2025-11-17,,0,0,beauty,West,48.32,0,0,,,0
83,paid,control,2025-12-13,2025-12-17,,0,0,apparel,Midwest,101.4,0,0,,,0
84,paid,treatment,2025-10-01,2025-10-04,2025-10-10,0,0,electronics,West,183.1,0,0,,,0
85,paid,treatment,2025-12-09,2025-12-12,2025-12-17,0,0,apparel,NE,60.49,0,0,,,0
86,paid,treatment,2025-12-11,2025-12-15,2025-12-22,1,1,electronics,West,97.1,0,0,,,0
87,paid,control,2025-12-15,2025-12-19,,0,0,apparel,South,48.9,0,0,,,0
88,paid,control,2025-12-31,2026-01-04,,0,0,home,West,52.0,0,0,,,0
89,paid,treatment,2025-12-11,2025-12-14,2025-12-20,0,0,apparel,South,45.16,0,1,25.0,42.18,0
90,paid,treatment,2025-11-18,2025-11-20,2025-11-26,0,0,electronics,West,103.0,0,0,,,0
91,paid,control,2025-11-12,2025-11-15,,0,0,apparel,Midwest,37.16,0,0,,,0
92,paid,treatment,2025-11-05,2025-11-09,2025-11-14,0,0,beauty,South,27.39,0,0,,,0
93,paid,treatment,2025-12-16,2025-12-19,2025-12-24,1,0,home,NE,90.82,0,0,,,0
94,paid,control,2025-11-06,2025-11-10,,0,0,home,South,25.83,0,0,,,0
95,paid,treatment,2025-11-22,2025-11-26,2025-12-03,1,0,home,Midwest,23.71,0,0,,,0
96,paid,control,2025-10-09,2025-10-12,,0,0,apparel,West,49.03,0,0,,,0
97,paid,control,2025-10-30,2025-11-04,,0,0,apparel,Midwest,95.04,1,0,,,0
98,paid,treatment,2025-10-25,2025-10-26,2025-11-02,0,0,apparel,South,44.3,0,0,,,0
99,paid,treatment,2025-11-10,2025-11-13,2025-11-19,0,0,apparel,West,58.22,0,0,,,0
100,paid,control,2025-11-16,2025-11-21,,0,0,apparel,West,71.17,0,0,,,0
101,paid,treatment,2025-12-05,2025-12-11,2025-12-17,0,0,apparel,West,76.56,0,1,11.0,93.06,0
102,paid,control,2025-11-09,2025-11-15,,0,0,home,NE,55.35,0,0,,,0
103,paid,treatment,2025-10-14,2025-10-18,2025-10-23,0,0,apparel,West,73.52,0,1,4.0,60.28,0
104,paid,control,2025-11-20,2025-11-24,,0,0,beauty,Midwest,56.43,0,0,,,0
105,paid,treatment,2025-10-06,2025-10-10,2025-10-17,0,0,electronics,West,49.07,0,0,,,0
106,paid,treatment,2025-12-18,2025-12-23,2025-12-29,0,0,electronics,South,82.43,0,0,,,0
107,paid,treatment,2025-12-10,2025-12-14,2025-12-21,1,0,home,South,37.8,0,0,,,0
108,paid,treatment,2025-10-21,2025-10-26,2025-11-01,0,0,apparel,NE,56.84,0,0,,,0
109,paid,control,2025-10-25,2025-10-29,,0,0,home,NE,87.76,0,0,,,0
110,paid,treatment,2025-10-03,2025-10-07,2025-10-13,1,0,apparel,South,86.39,0,0,,,0
111,paid,control,2025-11-03,2025-11-05,,0,0,home,NE,55.93,0,0,,,0
112,paid,treatment,2025-10-04,2025-10-07,2025-10-13,1,1,footwear,South,107.51,1,0,,,0
113,paid,treatment,2025-12-26,2025-12-29,2026-01-04,1,0,home,NE,108.79,0,0,,,0
114,paid,control,2025-10-13,2025-10-15,,0,0,footwear,NE,50.09,0,0,,,0
115,paid,treatment,2025-11-30,2025-12-02,2025-12-09,1,1,apparel,NE,50.37,0,0,,,0
116,paid,treatment,2025-11-22,2025-11-25,2025-11-30,0,0,apparel,NE,59.03,0,0,,,0
117,paid,control,2025-10-22,2025-10-25,,0,0,apparel,NE,73.27,0,0,,,0
118,paid,control,2025-12-14,2025-12-18,,0,0,apparel,South,76.34,0,0,,,0
119,paid,control,2025-10-11,2025-10-15,,0,0,apparel,Midwest,41.64,0,0,,,0
120,paid,control,2025-12-21,2025-12-25,,0,0,footwear,NE,90.01,0,1,2.0,65.45,1
121,paid,control,2025-12-08,2025-12-11,,0,0,beauty,Midwest,54.69,0,0,,,0
122,paid,treatment,2025-11-28,2025-11-30,2025-12-05,0,0,footwear,West,50.83,0,0,,,0
123,paid,treatment,2025-12-20,2025-12-25,2025-12-31,0,0,electronics,NE,128.25,1,0,,,0
124,paid,control,2025-11-07,2025-11-10,,0,0,electronics,South,86.24,1,0,,,0
125,paid,treatment,2025-10-26,2025-10-29,2025-11-03,1,0,footwear,South,44.58,0,0,,,0
126,paid,treatment,2025-10-15,2025-10-18,2025-10-24,1,1,apparel,NE,86.59,0,0,,,0
127,paid,control,2025-12-25,2025-12-28,,0,0,electronics,West,145.62,0,0,,,0
128,paid,treatment,2025-11-06,2025-11-09,2025-11-14,0,0,electronics,South,70.6,0,0,,,0
129,paid,treatment,2025-12-16,2025-12-19,2025-12-25,0,0,home,West,79.99,0,0,,,0
130,paid,treatment,2025-10-31,2025-11-03,2025-11-08,0,0,home,Midwest,108.88,0,0,,,0
131,paid,treatment,2025-12-27,2025-12-31,2026-01-05,0,0,footwear,South,87.96,0,0,,,0
132,paid,treatment,2025-12-20,2025-12-24,2025-12-30,0,0,footwear,South,46.29,0,0,,,0
133,paid,control,2025-10-29,2025-11-03,,0,0,apparel,NE,58.37,0,0,,,0
134,paid,treatment,2025-11-14,2025-11-19,2025-11-25,1,1,apparel,West,22.32,0,0,,,0
135,paid,treatment,2025-12-13,2025-12-19,2025-12-25,0,0,apparel,West,62.36,0,1,1.0,61.73,0
136,paid,control,2025-10-21,2025-10-25,,0,0,electronics,South,98.87,0,1,14.0,111.59,1
137,paid,treatment,2025-10-03,2025-10-07,2025-10-14,0,0,apparel,West,82.2,0,0,,,0
138,paid,control,2025-10-27,2025-10-30,,0,0,electronics,NE,87.12,0,0,,,0
139,paid,control,2025-11-24,2025-11-28,,0,0,beauty,South,55.43,0,0,,,0
140,paid,control,2025-10-13,2025-10-16,,0,0,footwear,Midwest,62.59,0,0,,,0
141,paid,treatment,2025-10-31,2025-11-02,2025-11-08,0,0,electronics,West,113.45,0,0,,,0
142,paid,control,2025-12-24,2025-12-29,,0,0,home,South,24.25,0,0,,,0
143,paid,control,2025-10-07,2025-10-09,,0,0,beauty,West,25.98,0,0,,,0
144,paid,control,2025-10-05,2025-10-09,,0,0,electronics,NE,163.1,0,1,1.0,162.25,0
145,paid,treatment,2025-11-08,2025-11-10,2025-11-17,0,0,apparel,Midwest,88.55,1,0,,,0
146,paid,treatment,2025-10-02,2025-10-07,2025-10-14,1,0,home,South,42.3,0,0,,,0
147,paid,control,2025-10-03,2025-10-08,,0,0,footwear,Midwest,99.54,0,0,,,0
148,paid,control,2025-10-17,2025-10-21,,0,0,home,NE,76.71,0,1,7.0,69.09,0
149,paid,treatment,2025-10-10,2025-10-15,2025-10-21,0,0,footwear,South,55.1,0,0,,,0
150,paid,control,2025-12-14,2025-12-18,,0,0,beauty,NE,48.77,0,0,,,0
151,paid,treatment,2025-10-12,2025-10-18,2025-10-25,0,0,home,South,58.29,0,0,,,0
152,paid,control,2025-11-18,2025-11-22,,0,0,footwear,West,94.82,0,0,,,0
153,paid,treatment,2025-12-04,2025-12-06,2025-12-12,1,0,electronics,South,113.33,0,0,,,0
154,paid,control,2025-11-27,2025-12-01,,0,0,footwear,South,25.34,0,0,,,0
155,paid,control,2025-11-30,2025-12-03,,0,0,electronics,NE,129.2,0,0,,,0
156,paid,treatment,2025-11-02,2025-11-05,2025-11-10,1,1,apparel,NE,61.35,1,0,,,0
157,paid,control,2025-12-21,2025-12-23,,0,0,apparel,NE,57.68,0,0,,,0
158,paid,treatment,2025-10-07,2025-10-11,2025-10-16,0,0,electronics,West,29.69,0,1,21.0,32.52,0
159,paid,treatment,2025-10-10,2025-10-12,2025-10-19,0,0,footwear,NE,113.03,1,0,,,0
160,paid,treatment,2025-12-18,2025-12-19,2025-12-26,0,0,electronics,West,122.24,0,0,,,0
161,paid,treatment,2025-10-07,2025-10-10,2025-10-15,1,0,beauty,Midwest,11.66,0,0,,,0
162,paid,treatment,2025-10-18,2025-10-21,2025-10-27,1,0,home,West,90.66,0,0,,,0
163,paid,control,2025-10-16,2025-10-18,,0,0,electronics,NE,143.45,1,0,,,0
164,paid,control,2025-10-04,2025-10-05,,0,0,beauty,West,55.82,0,0,,,0
165,paid,control,2025-10-11,2025-10-13,,0,0,home,West,50.88,0,0,,,0
166,paid,treatment,2025-11-22,2025-11-25,2025-11-30,0,0,footwear,Midwest,84.63,0,0,,,0
167,paid,control,2025-11-30,2025-12-03,,0,0,home,West,83.55,0,0,,,0
168,paid,control,2025-10-08,2025-10-12,,0,0,apparel,NE,74.57,0,0,,,0
169,paid,control,2025-12-26,2025-12-31,,0,0,home,NE,54.68,0,0,,,0
170,paid,control,2025-10-09,2025-10-13,,0,0,apparel,West,50.96,0,0,,,0
171,paid,control,2025-12-03,2025-12-08,,0,0,electronics,NE,10.0,0,0,,,0
172,paid,control,2025-12-13,2025-12-18,,0,0,footwear,NE,110.59,0,0,,,0
173,paid,treatment,2025-11-17,2025-11-19,2025-11-24,1,0,electronics,Midwest,171.93,1,0,,,0
174,paid,treatment,2025-11-15,2025-11-19,2025-11-25,1,1,footwear,West,105.9,0,0,,,0
175,paid,treatment,2025-10-11,2025-10-16,2025-10-21,0,0,electronics,West,182.8,1,0,,,0
176,paid,control,2025-10-23,2025-10-26,,0,0,beauty,NE,28.1,1,0,,,0
177,paid,treatment,2025-12-18,2025-12-21,2025-12-28,0,0,home,Midwest,49.71,0,0,,,0
178,paid,control,2025-11-02,2025-11-06,,0,0,home,South,46.59,0,0,,,0
179,paid,treatment,2025-10-04,2025-10-06,2025-10-11,1,0,beauty,West,12.64,1,0,,,0
180,paid,treatment,2025-12-07,2025-12-09,2025-12-15,0,0,apparel,NE,51.86,0,0,,,0
181,paid,treatment,2025-12-02,2025-12-05,2025-12-12,0,0,electronics,NE,129.36,0,0,,,0
182,paid,control,2025-10-07,2025-10-11,,0,0,apparel,South,88.05,0,1,7.0,76.66,1
183,paid,control,2025-10-05,2025-10-09,,0,0,apparel,NE,76.42,0,0,,,0
184,paid,treatment,2025-10-11,2025-10-16,2025-10-22,1,0,beauty,South,32.57,0,0,,,0
185,paid,control,2025-10-05,2025-10-07,,0,0,footwear,South,111.8,1,0,,,0
186,paid,control,2025-11-26,2025-11-28,,0,0,beauty,South,46.61,0,0,,,0
187,paid,control,2025-10-13,2025-10-17,,0,0,electronics,South,30.26,0,0,,,0
188,paid,control,2025-11-25,2025-11-28,,0,0,beauty,West,45.15,0,0,,,0
189,paid,control,2025-10-17,2025-10-20,,0,0,apparel,South,82.94,0,0,,,0
190,paid,control,2025-12-29,2025-12-30,,0,0,apparel,West,77.42,0,0,,,0
191,paid,treatment,2025-12-06,2025-12-10,2025-12-17,0,0,apparel,South,39.84,0,0,,,0
192,paid,treatment,2025-11-04,2025-11-09,2025-11-16,0,0,beauty,Midwest,28.35,0,1,17.0,28.23,1
193,paid,treatment,2025-11-09,2025-11-11,2025-11-17,0,0,beauty,South,73.55,0,0,,,0
194,paid,control,2025-10-06,2025-10-11,,0,0,home,Midwest,37.11,1,0,,,0
195,paid,treatment,2025-10-06,2025-10-09,2025-10-15,1,1,apparel,NE,67.04,0,0,,,0
196,paid,control,2025-11-19,2025-11-20,,0,0,apparel,Midwest,10.28,1,0,,,0
197,paid,control,2025-10-03,2025-10-05,,0,0,apparel,West,94.66,0,0,,,0
198,paid,control,2025-11-28,2025-11-30,,0,0,footwear,South,108.18,0,0,,,0
199,paid,control,2025-11-05,2025-11-08,,0,0,beauty,South,68.48,0,0,,,0
200,paid,treatment,2025-10-13,2025-10-17,2025-10-23,0,0,home,South,33.63,0,0,,,0
201,paid,control,2025-11-19,2025-11-25,,0,0,electronics,Midwest,189.16,1,1,18.0,141.19,1
202,paid,treatment,2025-11-20,2025-11-22,2025-11-28,0,0,apparel,Midwest,42.93,0,1,5.0,37.84,0
203,paid,control,2025-12-08,2025-12-11,,0,0,apparel,NE,99.93,0,0,,,0
204,paid,treatment,2025-10-19,2025-10-21,2025-10-26,0,0,home,NE,10.0,0,0,,,0
205,paid,control,2025-11-20,2025-11-22,,0,0,footwear,West,115.27,0,0,,,0
206,paid,control,2025-12-17,2025-12-21,,0,0,footwear,NE,87.11,0,0,,,0
207,paid,treatment,2025-10-25,2025-10-29,2025-11-04,1,0,beauty,South,52.79,1,0,,,0
208,paid,treatment,2025-12-16,2025-12-17,2025-12-23,0,0,apparel,Midwest,78.24,1,0,,,0
209,paid,control,2025-12-06,2025-12-10,,0,0,beauty,NE,49.44,0,0,,,0
210,paid,treatment,2025-11-09,2025-11-11,2025-11-18,0,0,apparel,NE,119.35,0,0,,,0
211,paid,control,2025-12-21,2025-12-25,,0,0,footwear,West,137.61,0,0,,,0
212,paid,treatment,2025-12-28,2026-01-02,2026-01-07,0,0,apparel,Midwest,78.71,0,0,,,0
213,paid,treatment,2025-10-22,2025-10-26,2025-11-01,1,0,apparel,Midwest,70.64,0,0,,,0
214,paid,control,2025-12-30,2026-01-03,,0,0,apparel,NE,98.74,1,0,,,0
215,paid,treatment,2025-10-01,2025-10-04,2025-10-09,1,0,electronics,NE,208.34,0,0,,,0
216,paid,control,2025-10-12,2025-10-16,,0,0,beauty,South,44.51,0,1,3.0,34.82,0
217,paid,control,2025-10-04,2025-10-08,,0,0,apparel,West,67.6,0,0,,,0
218,paid,control,2025-11-03,2025-11-07,,0,0,beauty,NE,28.48,0,0,,,0
219,paid,control,2025-12-26,2025-12-29,,0,0,apparel,Midwest,73.18,0,0,,,0
220,paid,treatment,2025-11-25,2025-11-29,2025-12-05,1,0,apparel,South,71.15,0,0,,,0
221,paid,control,2025-11-26,2025-11-28,,0,0,footwear,NE,114.19,0,0,,,0
222,paid,control,2025-10-08,2025-10-11,,0,0,electronics,Midwest,222.85,0,0,,,0
223,paid,treatment,2025-11-17,2025-11-21,2025-11-26,0,0,home,Midwest,89.07,0,0,,,0
224,paid,control,2025-11-05,2025-11-10,,0,0,beauty,South,58.71,0,0,,,0
225,paid,treatment,2025-11-14,2025-11-18,2025-11-24,1,0,home,West,53.98,0,1,14.0,70.08,0
226,paid,control,2025-10-25,2025-10-30,,0,0,electronics,Midwest,100.91,0,0,,,0
227,paid,treatment,2025-10-19,2025-10-23,2025-10-30,1,0,apparel,NE,82.76,0,0,,,0
228,paid,treatment,2025-12-27,2025-12-30,2026-01-05,0,0,electronics,South,155.24,1,1,11.0,162.98,0
229,paid,treatment,2025-11-21,2025-11-23,2025-11-29,1,0,home,NE,76.23,0,0,,,0
230,paid,control,2025-11-07,2025-11-12,,0,0,beauty,NE,28.14,0,0,,,0
231,paid,control,2025-10-07,2025-10-11,,0,0,apparel,Midwest,44.54,1,0,,,0
232,paid,treatment,2025-12-10,2025-12-16,2025-12-22,0,0,electronics,NE,94.66,0,0,,,0
233,paid,control,2025-11-13,2025-11-19,,0,0,footwear,Midwest,106.48,0,0,,,0
234,paid,treatment,2025-11-05,2025-11-07,2025-11-13,1,0,apparel,Midwest,66.07,0,0,,,0
235,paid,control,2025-12-01,2025-12-03,,0,0,apparel,West,99.76,0,1,9.0,38.62,0
236,paid,treatment,2025-10-13,2025-10-14,2025-10-19,0,0,electronics,NE,66.54,0,0,,,0
237,paid,treatment,2025-11-19,2025-11-24,2025-12-01,0,0,electronics,South,67.28,0,0,,,0
238,paid,control,2025-12-19,2025-12-23,,0,0,home,South,53.61,0,0,,,0
239,paid,control,2025-11-12,2025-11-16,,0,0,footwear,West,70.48,0,0,,,0
240,paid,treatment,2025-10-01,2025-10-03,2025-10-10,0,0,footwear,South,62.95,0,0,,,0
241,paid,control,2025-10-22,2025-10-25,,0,0,apparel,West,67.23,1,0,,,0
242,paid,treatment,2025-10-06,2025-10-10,2025-10-16,0,0,apparel,Midwest,67.98,0,1,4.0,90.96,1
243,paid,control,2025-11-16,2025-11-20,,0,0,apparel,NE,37.61,0,0,,,0
244,paid,treatment,2025-11-03,2025-11-07,2025-11-14,1,0,footwear,Midwest,68.77,0,0,,,0
245,paid,treatment,2025-10-13,2025-10-17,2025-10-22,0,0,home,South,75.53,0,0,,,0
246,paid,control,2025-12-03,2025-12-06,,0,0,footwear,NE,77.72,0,0,,,0
247,paid,treatment,2025-10-17,2025-10-22,2025-10-28,1,0,electronics,NE,75.35,0,0,,,0
248,paid,control,2025-11-01,2025-11-05,,0,0,electronics,NE,100.67,0,0,,,0
249,paid,treatment,2025-12-30,2026-01-01,2026-01-07,0,0,apparel,South,38.22,0,1,20.0,43.44,1
250,paid,control,2025-10-07,2025-10-12,,0,0,apparel,Midwest,104.31,1,0,,,0
251,paid,control,2025-10-23,2025-10-28,,0,0,footwear,South,109.94,0,0,,,0
252,paid,control,2025-10-30,2025-11-03,,0,0,home,South,117.03,0,0,,,0
253,paid,control,2025-11-16,2025-11-20,,0,0,footwear,West,87.85,0,0,,,0
254,paid,control,2025-10-23,2025-10-28,,0,0,beauty,West,36.78,0,0,,,0
255,paid,treatment,2025-12-29,2025-12-31,2026-01-05,0,0,home,NE,37.36,0,0,,,0
256,paid,control,2025-10-01,2025-10-06,,0,0,home,NE,69.0,0,0,,,0
257,paid,treatment,2025-12-27,2025-12-30,2026-01-04,1,1,apparel,NE,55.15,0,0,,,0
258,paid,control,2025-11-19,2025-11-24,,0,0,home,West,34.96,0,0,,,0
259,paid,control,2025-10-04,2025-10-08,,0,0,footwear,NE,122.07,1,0,,,0
260,paid,treatment,2025-10-11,2025-10-13,2025-10-19,0,0,beauty,Midwest,42.59,0,0,,,0
261,paid,treatment,2025-10-10,2025-10-13,2025-10-20,1,0,beauty,NE,45.93,0,0,,,0
262,paid,control,2025-10-27,2025-11-01,,0,0,electronics,Midwest,132.11,0,0,,,0
263,paid,control,2025-10-31,2025-11-03,,0,0,electronics,NE,142.71,0,0,,,0
264,paid,treatment,2025-11-28,2025-12-01,2025-12-07,0,0,electronics,South,23.84,0,0,,,0
265,paid,treatment,2025-10-29,2025-11-01,2025-11-07,0,0,beauty,South,24.73,0,0,,,0
266,paid,treatment,2025-12-06,2025-12-10,2025-12-15,0,0,beauty,West,69.63,0,0,,,0
267,paid,control,2025-10-28,2025-11-03,,0,0,beauty,West,41.3,0,1,5.0,47.07,0
268,paid,control,2025-10-25,2025-10-26,,0,0,footwear,West,96.55,1,0,,,0
269,paid,treatment,2025-10-26,2025-11-02,2025-11-08,0,0,footwear,Midwest,107.32,0,0,,,0
270,paid,treatment,2025-10-31,2025-11-04,2025-11-09,0,0,home,NE,49.0,0,0,,,0
271,paid,control,2025-12-17,2025-12-21,,0,0,apparel,NE,41.47,1,0,,,0
272,paid,control,2025-10-23,2025-10-26,,0,0,footwear,South,46.74,0,0,,,0
273,paid,control,2025-10-26,2025-10-29,,0,0,apparel,NE,42.82,0,0,,,0
274,paid,treatment,2025-12-28,2026-01-01,2026-01-06,0,0,apparel,Midwest,49.85,1,0,,,0
275,paid,control,2025-11-30,2025-12-02,,0,0,beauty,NE,30.57,0,0,,,0
276,paid,control,2025-10-18,2025-10-21,,0,0,electronics,NE,49.14,0,0,,,0
277,paid,control,2025-12-19,2025-12-24,,0,0,apparel,Midwest,85.26,1,0,,,0
278,paid,treatment,2025-10-17,2025-10-19,2025-10-25,1,1,beauty,Midwest,64.1,0,0,,,0
279,paid,control,2025-10-15,2025-10-19,,0,0,electronics,NE,68.59,1,0,,,0
280,paid,control,2025-11-10,2025-11-13,,0,0,electronics,West,25.85,1,0,,,0
281,paid,control,2025-12-03,2025-12-05,,0,0,apparel,South,66.31,0,0,,,0
